contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,underlying_symbol,option_type,expiration_date,quote_timestamp,downloaded_at,source
SPY260529C00640000,2026-05-07 18:45:28+00:00,640.0,91.89,92.77,95.59,-1.6800003,-1.7954476,19.0,1178.0,0.4358576922607422,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00641000,2026-04-27 15:48:16+00:00,641.0,76.22,91.78,94.6,0.0,0.0,5.0,176.0,0.43237872314453124,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00642000,2026-05-05 19:55:49+00:00,642.0,83.9,90.79,93.61,0.0,0.0,1.0,188.0,0.42896078857421877,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00643000,2026-04-28 13:30:21+00:00,643.0,72.07,89.8,92.62,0.0,0.0,2.0,122.0,0.4254818194580079,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00644000,2026-05-07 17:07:26+00:00,644.0,90.52,88.81,91.64,19.359993,27.206284,1.0,181.0,0.42236905761718746,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00645000,2026-05-06 18:26:08+00:00,645.0,90.4,87.83,90.65,0.0,0.0,1.0,372.0,0.41889008850097653,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00646000,2026-04-30 18:47:12+00:00,646.0,76.0,86.84,89.66,0.0,0.0,2.0,264.0,0.4154111193847656,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00647000,2026-05-01 14:19:25+00:00,647.0,80.29,85.85,88.68,0.0,0.0,1.0,184.0,0.41223732299804683,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00648000,2026-04-21 16:16:38+00:00,648.0,65.33,84.87,87.69,0.0,0.0,1.0,806.0,0.4087583538818359,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00649000,2026-05-07 13:40:09+00:00,649.0,87.73,83.88,86.7,21.350006,32.16331,1.0,327.0,0.405279384765625,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00650000,2026-05-07 18:25:37+00:00,650.0,83.5,82.9,85.72,-2.4400024,-2.8391929,12.0,1774.0,0.40210558837890625,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00651000,2026-04-29 19:10:56+00:00,651.0,63.74,81.91,84.73,0.0,0.0,2.0,237.0,0.3986266192626954,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00652000,2026-05-06 19:27:09+00:00,652.0,84.26,80.93,83.75,0.0,0.0,1.0,131.0,0.39539178833007815,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00653000,2026-05-05 18:38:26+00:00,653.0,74.04,79.94,82.76,0.0,0.0,497.0,134.0,0.3919128192138671,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00654000,2026-05-07 13:40:09+00:00,654.0,82.77,78.96,81.78,18.419998,28.624706,1.0,521.0,0.38867798828125,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00655000,2026-05-05 14:15:14+00:00,655.0,70.0,77.97,80.8,0.0,0.0,4.0,1857.0,0.38544315734863277,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00656000,2026-05-05 19:49:55+00:00,656.0,71.35,76.99,79.81,0.0,0.0,1.0,641.0,0.3819031536865234,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00657000,2026-05-07 18:10:07+00:00,657.0,76.78,76.01,78.83,-2.2399979,-2.8347228,8.0,1013.0,0.3786683227539062,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00658000,2026-05-07 18:04:36+00:00,658.0,77.42,75.03,77.85,8.220001,11.878615,11.0,495.0,0.3753724572753906,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00659000,2026-04-30 19:18:09+00:00,659.0,63.88,74.05,76.87,0.0,0.0,3.0,978.0,0.37210710906982425,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00660000,2026-05-07 16:00:16+00:00,660.0,76.0,73.06,75.89,0.12999725,0.17134209,5.0,3390.0,0.3688417608642578,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00661000,2026-05-06 19:59:00+00:00,661.0,74.16,72.09,73.86,0.0,0.0,1.0,1535.0,0.33618827880859375,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00662000,2026-05-07 17:17:44+00:00,662.0,72.1,71.11,73.93,1.0699997,1.5064054,2.0,572.0,0.3622195126342773,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00663000,2026-05-06 17:34:34+00:00,663.0,71.49,70.13,72.95,0.0,0.0,2.0,927.0,0.3588931298828125,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00664000,2026-05-07 18:04:36+00:00,664.0,71.58,69.15,71.97,-0.9700012,-1.3370106,41.0,816.0,0.35559726440429684,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00665000,2026-05-07 17:10:00+00:00,665.0,68.53,68.18,71.0,-1.090004,-1.5656477,3.0,1825.0,0.3524845025634765,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00666000,2026-05-06 19:27:21+00:00,666.0,69.85,67.2,70.02,-0.45999908,-0.6542442,1.0,525.0,0.3491276025390625,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00667000,2026-05-01 18:48:32+00:00,667.0,57.95,66.23,69.05,0.0,0.0,5.0,783.0,0.3460148406982422,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00668000,2026-05-05 18:39:09+00:00,668.0,59.5,65.25,68.07,0.0,0.0,1.0,423.0,0.34265794067382804,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
